B_cell,CD14+_Monocyte,CD4+_T-cell,CD8+_T-cell,Dendritic_cell,FCGR3A+_Monocyte,HEK293T_cell,Megakaryocyte,NK_cell
TMEM156,CPVL,C14orf64,GNG2,LGALS1,CD83,NDUFS6,MBNL1,OSBPL5
FGD2,NFKBIZ,RPL13P12,RABGAP1L,RAB31,MAFB,CYCS,ZSCAN18,NCR3
AC079767.4,KLF6,CYTH1,KLRF1,MAML3,NPC2,MT-RNR2,IKBKE,SKAP1
JCHAIN,DPYD,RP11-864N7.2,MYL12A,RP11-266K4.15,UTRN,STRA13,RTN2,ITGAL
SP140,KYNU,RPL7,RARRES3,KLF4,C9orf72,PRDX4,ODC1,IQGAP2
BLNK,GAS7,RPS14,CALM1,PAK1,S100A6,HSPD1,TPCN2,MYO1F
KMO,IRAK3,SKAP1,PTPRC,HLA-DQB2,VMP1,ID3,SLC25A40,EPDR1
P2RX5-TAX1BP3,ADAMTSL4-AS1,RPL7P23p,SPON2,HIP1,PRAM1,YBX1,ZNF675,CARD11
IRF8,SPI1,RPS20,CD3E,VIM,NAAA,PSMA4,FAM110A,ZEB2
BTLA,VIM,EEF1A1P5,SYTL3,MOB3A,CLEC12A,SOD1,CLU,MYOM2
FCER2,MCTP1,RPS26,PLCB1,AFF3,ARRB1,PTCD1,SSX2IP,BNC2
FCRL3,S100A10,RPL13A,TRG-AS1,TYROBP,SAMSN1,ERH,DPEP2,ITGB2
CD52,NLRP3,RPS26P31,CARD11,S100A10,HLA-DRA,USMG5,TMSB4X,HLA-C
CH17-84K15.2,RNF130,RP4-706A16.3,NFATC2,ADAM8,FAM110A,PARP1,KCTD7,CMC1
ST6GAL1,PYCARD,EEF1B2,CNOT6L,ENTPD1,RAP1GAP2,DTNA,BCL2L14,FAM49B
CAMK2D,SNORD3B-2,RPL10A,TGFB1,BID,FRY,RP11-244M2.1,,GFOD1
TRAK1,QKI,RP11-592N21.1,LCK,AP1S2,ACTB,MRPL12,,PITPNC1
CTD-2509G16.5,BRI3,RPL11,ARL4C,CAPG,SLC7A7,GSTP1,,PRR5L
SNX29,ACSL1,RPLP2,AKNA,CSTA,MCTP1,TAF5,,CBLB
RAB30,HLA-DRB1,STEAP1B,KLF12,MEF2C,CDH23,COX6A1,,CYBA
PPP3CA,CPPED1,RPL17-C18orf32,FAM129A,ATP8B4,FGL2,SDK1,,NCAM1
CIITA,TKT,EEF1G,CD8B,ACTB,C19orf38,MORF4L2,,VAV3
