Cell type,Symbol
CD8+_T-cell,TRG-AS1
CD8+_T-cell,CARD11
CD8+_T-cell,NFATC2
CD8+_T-cell,CNOT6L
CD8+_T-cell,TGFB1
CD8+_T-cell,LCK
CD8+_T-cell,ARL4C
CD8+_T-cell,AKNA
CD8+_T-cell,KLF12
CD8+_T-cell,FAM129A
CD8+_T-cell,CD8B
Dendritic_cell,FCER1A
Dendritic_cell,HLA-DQB1
Dendritic_cell,CLEC10A
Dendritic_cell,NAPSB
Dendritic_cell,HLA-DQA2
Dendritic_cell,CD1C
Dendritic_cell,FLT3
Dendritic_cell,XXbac-BPG181M17.5
Dendritic_cell,HLA-DQA1
Dendritic_cell,HLA-DRB6
Dendritic_cell,PLD4
Dendritic_cell,LGALS2
Dendritic_cell,HLA-DPA1
Dendritic_cell,HLA-DRB1
Dendritic_cell,CSF2RA.1
Dendritic_cell,HLA-DMB
Dendritic_cell,CIITA
Dendritic_cell,HLA-DPB1
Dendritic_cell,HLA-DRB5
Dendritic_cell,CD86
Dendritic_cell,RTN1
Dendritic_cell,HLA-DRA
Dendritic_cell,CMAHP
Dendritic_cell,UPK3A
Dendritic_cell,AMICA1
Dendritic_cell,CST3
Dendritic_cell,NEGR1
Dendritic_cell,CD74
Dendritic_cell,SLC8A1
Dendritic_cell,LST1
Dendritic_cell,CLIC2
Dendritic_cell,P2RY13
Dendritic_cell,RGS1
Dendritic_cell,LY86
Dendritic_cell,ITGAX
Dendritic_cell,SEMA4A
Dendritic_cell,HLA-DPB2
Dendritic_cell,GAS7
Dendritic_cell,CTSZ
Dendritic_cell,MS4A4E
Dendritic_cell,FCER1G
Dendritic_cell,HDAC9
Dendritic_cell,IL1B
Dendritic_cell,ENHO
Dendritic_cell,KCNK6
Dendritic_cell,LYZ
Dendritic_cell,IL18
Dendritic_cell,RP11-231C14.9
Dendritic_cell,CPVL
Dendritic_cell,ETV6
Dendritic_cell,RNASE6
Dendritic_cell,C1orf162
Dendritic_cell,SPI1
Dendritic_cell,PHACTR1
Dendritic_cell,COTL1
Dendritic_cell,ADAM28
Dendritic_cell,C10orf11
Dendritic_cell,PLXDC2
Dendritic_cell,SH2B3
Dendritic_cell,AC007192.4
Dendritic_cell,PON2
Dendritic_cell,IGSF6
Dendritic_cell,RAB11FIP1
Dendritic_cell,CD33
Dendritic_cell,PTPRE
Dendritic_cell,LSP1
Dendritic_cell,RP11-231C14.7
Dendritic_cell,DOCK5
Dendritic_cell,GPAT3
Dendritic_cell,AIF1
Dendritic_cell,GNA15
Dendritic_cell,GRN
Dendritic_cell,SPECC1
Dendritic_cell,RILPL2
Dendritic_cell,NRROS
Dendritic_cell,FGD2
Dendritic_cell,LGALS9
Dendritic_cell,WDFY4
Dendritic_cell,LGALS1
Dendritic_cell,RAB31
Dendritic_cell,MAML3
Dendritic_cell,RP11-266K4.15
Dendritic_cell,KLF4
Dendritic_cell,PAK1
Dendritic_cell,HLA-DQB2
Dendritic_cell,HIP1
Dendritic_cell,VIM
Dendritic_cell,MOB3A
Dendritic_cell,AFF3
Dendritic_cell,TYROBP
Dendritic_cell,S100A10
Dendritic_cell,ADAM8
Dendritic_cell,ENTPD1
Dendritic_cell,BID
Dendritic_cell,AP1S2
Dendritic_cell,CAPG
Dendritic_cell,CSTA
Dendritic_cell,MEF2C
Dendritic_cell,ATP8B4
Dendritic_cell,ACTB
FCGR3A+_Monocyte,LST1
FCGR3A+_Monocyte,TCF7L2
FCGR3A+_Monocyte,SAT1
FCGR3A+_Monocyte,AIF1
FCGR3A+_Monocyte,MS4A6E
FCGR3A+_Monocyte,LYN
FCGR3A+_Monocyte,FCER1G
FCGR3A+_Monocyte,COTL1
FCGR3A+_Monocyte,FCGR3A
FCGR3A+_Monocyte,SLC8A1
FCGR3A+_Monocyte,MTSS1
FCGR3A+_Monocyte,FTL
FCGR3A+_Monocyte,TBXAS1
FCGR3A+_Monocyte,LINC01272
FCGR3A+_Monocyte,AC007192.4
FCGR3A+_Monocyte,IFITM3
FCGR3A+_Monocyte,CST3
FCGR3A+_Monocyte,WARS
FCGR3A+_Monocyte,PECAM1
FCGR3A+_Monocyte,PSAP
FCGR3A+_Monocyte,HCK
FCGR3A+_Monocyte,TYROBP
FCGR3A+_Monocyte,CLEC7A
FCGR3A+_Monocyte,STXBP2
FCGR3A+_Monocyte,CTSS
FCGR3A+_Monocyte,LYST
FCGR3A+_Monocyte,RNF144B
FCGR3A+_Monocyte,ZEB2
FCGR3A+_Monocyte,DOCK5
FCGR3A+_Monocyte,NAMPT
FCGR3A+_Monocyte,S100A11
FCGR3A+_Monocyte,FAM49A
FCGR3A+_Monocyte,C5AR1
FCGR3A+_Monocyte,NEAT1
FCGR3A+_Monocyte,CFD
FCGR3A+_Monocyte,CPPED1
FCGR3A+_Monocyte,RIN3
FCGR3A+_Monocyte,CDKN1C
FCGR3A+_Monocyte,ADRBK2
FCGR3A+_Monocyte,SPI1
FCGR3A+_Monocyte,TNFRSF1B
FCGR3A+_Monocyte,IRAK3
FCGR3A+_Monocyte,PILRA
FCGR3A+_Monocyte,SERPINA1
FCGR3A+_Monocyte,ADGRE2
FCGR3A+_Monocyte,LYPD2
FCGR3A+_Monocyte,CSF1R
FCGR3A+_Monocyte,S100Z
FCGR3A+_Monocyte,ITGAX
FCGR3A+_Monocyte,MYOF
FCGR3A+_Monocyte,CD86
FCGR3A+_Monocyte,LRRC25
FCGR3A+_Monocyte,LILRB2
FCGR3A+_Monocyte,RP11-221J22.1
FCGR3A+_Monocyte,GPBAR1
FCGR3A+_Monocyte,RP11-362F19.1
FCGR3A+_Monocyte,SIGLEC10
FCGR3A+_Monocyte,AC104809.4
FCGR3A+_Monocyte,POU2F2
FCGR3A+_Monocyte,S100A4
FCGR3A+_Monocyte,SCHLAP1
FCGR3A+_Monocyte,RP1-93H18.7
FCGR3A+_Monocyte,RP11-186B7.4
FCGR3A+_Monocyte,KYNU
FCGR3A+_Monocyte,FGD2
FCGR3A+_Monocyte,SLC11A1
FCGR3A+_Monocyte,ADGRE1
FCGR3A+_Monocyte,FGR
FCGR3A+_Monocyte,LILRB1
FCGR3A+_Monocyte,DMXL2
FCGR3A+_Monocyte,NFKBIZ
FCGR3A+_Monocyte,LILRA5
FCGR3A+_Monocyte,STX11
FCGR3A+_Monocyte,HLA-DPA1
FCGR3A+_Monocyte,PYCARD
FCGR3A+_Monocyte,PLXDC2
